ArtNr,Label,Brand,Size,Material,Form
1171 399.536.000,"Duschenwanne Laufen Pro Superflach 180 x 90 x 3,4 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,180 x 90,Stahl-Email,Rechteckig

1171 397.536.000,"Duschenwanne Laufen Pro Superflach 180 x 75 x 3,3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,180 x 75,Stahl-Email,Rechteckig

1171 359.536.000,"Duschenwanne Laufen Pro Superflach, 100 x 80 x 3,3 cm, auch für flächenbündigen Einbau geeignet, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar, Ablaufloch Ø 90 mm, Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,100 x 80,Stahl-Email,Rechteckig

1171 387.536.000,"Duschenwanne Laufen Pro Superflach 140 x 70 x 3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,140 x 70,Stahl-Email,Rechteckig

1171 396.536.000,"Duschenwanne Laufen Pro Superflach 180 x 70 x 3,3 cm auch für flächenbündigen Einbau, Ablaufabdeckung Edelstahl lackiert in Wannenfarbe, abnehmbar Ablaufloch Ø 90 mm Ablauf Längsseite Mitte Mineralwerkstoff Marbond Oberfläche mit Struktur Weiss matt",Laufen,180 x 70,Stahl-Email,Rechteckig

