Typ,Artikelnummer,Menge,Bezeichnung
,1311 196.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 1000 mm, 1800 - 2000 mm,"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 370.536.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 70 x 3,8 cm, auch für flächenbündigen"
ALT,1171 370.241.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 70 x 3,8 cm, auch für flächenbündigen"
ALT,1171 370.841.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 70 x 3,8 cm, auch für flächenbündigen"
ALT,1171 370.136.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 70 x 3,8 cm, auch für flächenbündigen"
ALT,1171 370.535.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 70 x 3,8 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 003.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 184.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 700 mm, 1000 - 1400 mm,"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 395.536.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 100 x 3,3 cm, auch für flächenbündigen"
ALT,1171 395.241.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 100 x 3,3 cm, auch für flächenbündigen"
ALT,1171 395.841.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 100 x 3,3 cm, auch für flächenbündigen"
ALT,1171 395.136.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 100 x 3,3 cm, auch für flächenbündigen"
ALT,1171 395.535.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 100 x 3,3 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 142.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,8 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 006.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,8 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 195.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 1000 mm, 1400 - 1800 mm,"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 363.536.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 70 x 3,8 cm, auch für flächenbündigen"
ALT,1171 363.241.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 70 x 3,8 cm, auch für flächenbündigen"
ALT,1171 363.841.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 70 x 3,8 cm, auch für flächenbündigen"
ALT,1171 363.136.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 70 x 3,8 cm, auch für flächenbündigen"
ALT,1171 363.535.000,1.0,"Duschwanne Laufen Pro Superflach, 120 x 70 x 3,8 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 001.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 142.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,8 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 184.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 700 mm, 1000 - 1400 mm,"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 379.536.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 90 x 4,2 cm, auch für flächenbündigen"
ALT,1171 379.241.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 90 x 4,2 cm, auch für flächenbündigen"
ALT,1171 379.841.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 90 x 4,2 cm, auch für flächenbündigen"
ALT,1171 379.136.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 90 x 4,2 cm, auch für flächenbündigen"
ALT,1171 379.535.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 90 x 4,2 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 142.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,8 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 192.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 900 mm, 1400 - 1800 mm,"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 376.536.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 70 x 4,2 cm, auch für flächenbündigen"
ALT,1171 376.241.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 70 x 4,2 cm, auch für flächenbündigen"
ALT,1171 376.841.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 70 x 4,2 cm, auch für flächenbündigen"
ALT,1171 376.136.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 70 x 4,2 cm, auch für flächenbündigen"
ALT,1171 376.535.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 70 x 4,2 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 185.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 700 mm, 1400 - 1800 mm,"
,1311 201.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 389.536.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 90 x 3 cm, auch für flächenbündigen"
ALT,1171 389.241.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 90 x 3 cm, auch für flächenbündigen"
ALT,1171 389.841.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 90 x 3 cm, auch für flächenbündigen"
ALT,1171 389.136.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 90 x 3 cm, auch für flächenbündigen"
ALT,1171 389.535.000,1.0,"Duschwanne Laufen Pro Superflach, 140 x 90 x 3 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 002.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,5 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 004.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,4 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 191.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 900 mm, 1000 - 1400 mm,"
,1311 200.000.000,1.0,"Schallschutzset Laufen, für Installationsrahme zur Erfüllung der"
,,,
,1171 394.536.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 394.241.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 394.841.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 394.136.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 90 x 3,3 cm, auch für flächenbündigen"
ALT,1171 394.535.000,1.0,"Duschwanne Laufen Pro Superflach, 160 x 90 x 3,3 cm, auch für flächenbündigen"
,1171 405.000.000,1.0,"Duschwannengarnitur Laufen Pro, für Ablaufloch Ø 90 mm, ohne Ablaufhaube,"
,1461 142.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 2,8 m, 2 Wannen-Eckdichtungen Butyl,"
OR,1461 005.000.000,1.0,"Zargen-Wannendichtband Alterna, Länge 3,6 m, 2 Wannen-Eckdichtungen Butyl,"
,1311 192.000.000,1.0,"Duschwanneninstallationsrahmen Laufen Ineo, Breite 900 mm, 1400 - 1800 mm,"
