Article Number,Label,Manufacturer,Size
"1111 159.100.000","Badewanne Schmidlin Ocean Vario, 178 - 185 x 78 - 85 cm, Duschteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","185 x 78"
"1111 243.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 180 x 80 cm, Ablauf links, Zargen hinten und rechts, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1111 543.100.000","Badewanne Schmidlin Free, 190 x 90 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","190 x 90"
"1122 310.100.000","Badewanne Hoesch Santee 190 x 120 cm Kunststoff Acryl Weiss","Hoesch","190 x 120"
"1111 558.100.000","Badewanne Schmidlin Duett, 180 x 70 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","180 x 70"
"1111 149.100.000","Badewanne Schmidlin Duett Vario, 184 - 194 x 83 - 94 x 42 cm, Stahl, Schallisolierung, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","94 x 42"
"1113 489.100.000","Badewanne Kaldewei Silenio- Griffe, 190 x 90 cm, Tiefe 43,5 cm, Stahl, Schallisolierung, ohne Griff Umweltdeklaration EPD Weiss","Kaldewei","190 x 90"
"1111 653.100.000","Badewanne Schmidlin Contura Duo, 170 x 75 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 75"
"1111 142.100.000","Badewanne Schmidlin Norm Classic Vario, 175 - 184 x 68 - 84 x 45 cm, Stahl, Schallisolierung, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","84 x 45"
"1111 693.100.000","Badewanne Schmidlin Cubic, 180 x 85 cm, Schallisolierung, Stahl, Tiefe 45 cm, Ablaufloch Ø 90 mm Weiss","Schmidlin","180 x 85"
"1111 570.100.000","Badewanne Schmidlin Duett mit Zargen, Zargen hinten, rechts und links, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 42 cm, Überlauf vorne Weiss","Schmidlin","180 x 80"
"1111 567.100.000","Badewanne Schmidlin Duett mit Zargen, Zargen hinten und links, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 42 cm, Überlauf vorne Weiss","Schmidlin","180 x 80"
"1111 225.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 170 x 75 cm, Ablauf links, Zargen hinten und rechts, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 75"
"1121 534.100.186","Badewanne Alterna wai 180 x 80 cm, Tiefe 42 cm Stahl, Schallisolierung Weiss Gleitschutz Aquagrip","Alterna","180 x 80"
"1111 578.100.181","Badewanne Schmidlin Ocean 170 x 75 cm, Tiefe 45 cm Duschteil links Schallisolierung, Stahl Weiss Gleitschutz Antigliss Pro","Schmidlin","170 x 75"
"1111 566.100.000","Badewanne Schmidlin Duett, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","180 x 80"
"1111 132.100.810","Badewanne Schmidlin Inoa 50, 1800 x 800 mm, Duschteil links, Stahl, Schallisolierung, Tiefe 500 mm, Überlauf vorne Weiss Standard","Schmidlin","180 x 80"
"1117 243.100.000","Badewanne Alterna steel set, 170 x 75 cm, Nutzinhalt 135 Liter, Rückenteil links, Überlauf vorne, Stahl, Schallisolierung, Tiefe 43 cm Weiss","Alterna","170 x 75"
"1111 301.100.000","Sitzbadewanne Schmidlin, 105 x 65 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","105 x 65"
"1111 574.100.181","Badewanne Schmidlin Ocean 160 x 70 cm, Tiefe 45 cm Duschteil links Schallisolierung, Stahl Weiss Gleitschutz Antigliss Pro","Schmidlin","160 x 70"
"1144 281.100.185","Badewanne Kaldewei Puro Next Combi, 1700 x 700 mm, Rückenteil links, Tiefe 410 mm, mit seitlichem Überlauf, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip","Kaldewei","170 x 70"
"1111 287.100.000","Badewanne Schmidlin Sola 170 x 80 cm, Tiefe 45 cm Duschteil rechts Überlauf vorne Schallisolierung, Stahl Weiss","Schmidlin","170 x 80"
"1124 669.100.000","Badewanne Duravit Starck, 200 x 100 cm, Kunststoff Acryl Umweltdeklaration EPD Weiss","Duravit","200 x 100"
"1111 157.100.000","Badewanne Schmidlin Ocean Vario, 168 - 177 x 72 - 85 cm, Duschteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","177 x 72"
"1111 648.100.000","Badewanne Schmidlin Contura Comfort, 200 x 90 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","200 x 90"
"1113 371.100.000","Badewanne Kaldewei Asymmetric Duo, 170 x 80 cm, Tiefe 42 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","170 x 80"
"1111 134.100.186","Badewanne Schmidlin Inoa 50, 1800 x 800 mm, Duschteil rechts, Stahl, Schallisolierung, Tiefe 500 mm, Überlauf vorne Weiss Gleitschutz Aquagrip","Schmidlin","180 x 80"
"1111 315.100.000","Badewanne Schmidlin Swiss Line 180 x 80 cm, Tiefe 42 cm Stahl, Schallisolierung Weiss","Schmidlin","180 x 80"
"1113 327.100.000","Badewanne Kaldewei Classic Duo, 180 x 80 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","180 x 80"
"1113 153.100.000","Badewanne Kaldewei Vaio Set Star- Griff, 170 x 75 cm, Rückenteil links, Überlauf vorne, Stahl, Schallisolierung, ohne Griffe Umweltdeklaration EPD Weiss","Kaldewei","170 x 75"
"1144 282.100.000","Badewanne Kaldewei Puro Next Combi, 1700 x 750 mm, Rückenteil links, Tiefe 410 mm, mit seitlichem Überlauf, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","170 x 75"
"1111 782.100.000","Badewanne Schmidlin Viva X 170 x 75 cm, Tiefe 45 cm Randhöhe 8 mm Schallisolierung, Stahl Weiss","Schmidlin","170 x 75"
"1113 216.100.000","Badewanne Kaldewei Dynaset Star- Griffe, 180 x 80 cm, Stahl, Schallisolierung, ohne Griffe Umweltdeklaration EPD Weiss","Kaldewei","180 x 80"
"1113 212.100.000","Badewanne Kaldewei Dynaset, 180 x 80 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","180 x 80"
"1111 106.100.000","Badewanne Schmidlin Norm Classic, 168 x 70 cm, Tiefe 45 cm, Stahl, Schallisolierung Weiss","Schmidlin","168 x 70"
"1111 213.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 160 x 70 cm, Ablauf links, Zarge hinten und rechts, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","160 x 70"
"1113 218.100.000","Badewanne Kaldewei Dynaset Star- Griffe, 160 x 70 cm, Stahl, Schallisolierung, ohne Griffe Umweltdeklaration EPD Weiss","Kaldewei","160 x 70"
"1124 667.100.000","Badewanne Duravit Starck, 190 x 90 cm, Kunststoff Acryl Umweltdeklaration EPD Weiss","Duravit","190 x 90"
"1111 314.100.000","Badewanne Schmidlin Swiss Line 170 x 75 cm, Tiefe 42 cm Stahl, Schallisolierung Weiss","Schmidlin","170 x 75"
"1111 289.100.000","Badewanne Schmidlin Sola 180 x 80 cm, Tiefe 45 cm Duschteil rechts Überlauf vorne Schallisolierung, Stahl Weiss","Schmidlin","180 x 80"
"1111 576.100.181","Badewanne Schmidlin Ocean 170 x 80 cm, Tiefe 45 cm Duschteil links Schallisolierung, Stahl Weiss Gleitschutz Antigliss Pro","Schmidlin","170 x 80"
"1144 274.100.185","Badewanne Kaldewei Puro Next Star, 1700 x 700 mm, Tiefe 410 mm, für Griffmontage, Griffe gegen Aufpreis, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip","Kaldewei","170 x 70"
"1144 286.100.000","Badewanne Kaldewei Puro Next Combi, 1600 x 700 mm, Rückenteil rechts, Tiefe 410 mm, mit seitlichem Überlauf, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","160 x 70"
"1113 324.100.000","Badewanne Kaldewei Classic Duo, 170 x 70 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","170 x 70"
"1144 271.100.185","Badewanne Kaldewei Puro Next, 1800 x 800 mm, Tiefe 410 mm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip","Kaldewei","180 x 80"
"1111 562.100.000","Badewanne Schmidlin Duett, 170 x 75 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","170 x 75"
"1111 156.100.000","Badewanne Schmidlin Ocean Vario, 168 - 177 x 72 - 85 cm, Duschteil links, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","177 x 72"
"1113 373.100.000","Badewanne Kaldewei Asymmetric Duo, 180 x 90 cm, Tiefe 42 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","180 x 90"
"1113 151.100.000","Badewanne Kaldewei Vaio Set Star- Griff, 160 x 70 cm, Rückenteil rechts, Überlauf vorne, Stahl, Schallisolierung, ohne Griffe Umweltdeklaration EPD Weiss","Kaldewei","160 x 70"
"1144 285.100.000","Badewanne Kaldewei Puro Next Combi, 1900 x 900 mm, Rückenteil links, Tiefe 410 mm, mit seitlichem Überlauf, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","190 x 90"
"1111 632.100.000","Badewanne Schmidlin Bambino, 157 x 70/55 cm, Ablauf rechts, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","157 x 70"
"1111 492.100.000","Badewanne Schmidlin Kombi- Griff, 165 x 75 cm, Stahl, Schallisolierung, Tiefe 38 cm, ohne Griffe Weiss","Schmidlin","165 x 75"
"1111 227.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 170 x 75 cm, Ablauf links, Zarge vorne, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 75"
"1144 276.100.000","Badewanne Kaldewei Puro Next Star, 1700 x 800 mm, Tiefe 410 mm, für Griffmontage, Griffe gegen Aufpreis, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","170 x 80"
"1111 286.100.000","Badewanne Schmidlin Sola 170 x 80 cm, Tiefe 45 cm Duschteil links Überlauf vorne Schallisolierung, Stahl Weiss","Schmidlin","170 x 80"
"1111 281.100.000","Badewanne Schmidlin Sola, 170 x 75 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","170 x 75"
"1111 249.100.000","Badewanne Schmidlin Ocean Vario, 150 - 157 x 68 - 77 cm, Duschteil rechts, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","157 x 68"
"1111 407.100.000","Badewanne Schmidlin Form, 170 x 75 cm, Stahl, Schallisolierung, Tiefe 42 cm Weiss","Schmidlin","170 x 75"
"1121 533.100.186","Badewanne Alterna wai 170 x 75 cm, Tiefe 42 cm Stahl, Schallisolierung Weiss Gleitschutz Aquagrip","Alterna","170 x 75"
"1111 217.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 160 x 70 cm, Ablauf links, Zargen vorne und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","160 x 70"
"1111 212.100.000","Badewanne Schmidlin Norm Classic mit Zargen, 160 x 70 cm, Ablauf links, Zarge hinten und links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","160 x 70"
"1111 494.100.000","Badewanne Schmidlin Kombi- Griff, 170 x 80 cm, Stahl, Schallisolierung, Tiefe 38 cm, ohne Griffe Weiss","Schmidlin","170 x 80"
"1111 158.100.000","Badewanne Schmidlin Ocean Vario, 178 - 185 x 78 - 85 cm, Duschteil links, Stahl, Schallisolierung, Tiefe 45 cm, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","185 x 78"
"1111 133.100.186","Badewanne Schmidlin Inoa 50, 1700 x 750 mm, Duschteil rechts, Stahl, Schallisolierung, Tiefe 500 mm, Überlauf vorne Weiss Gleitschutz Aquagrip","Schmidlin","170 x 75"
"1111 404.100.000","Badewanne Schmidlin Ella, Einbau, 180 x 100 cm, Tiefe 45 cm, Stahl, Schallisolierung, Ablaufloch Ø 52 mm Weiss","Schmidlin","180 x 100"
"1111 141.100.000","Badewanne Schmidlin Norm Classic Vario, 156 - 174 x 65 - 80 x 44 cm, Stahl, Schallisolierung, (Masse in 1 cm Schritten frei wählbar) Weiss","Schmidlin","80 x 44"
"1111 655.100.000","Badewanne Schmidlin Contura Duo, 190 x 90 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","190 x 90"
"1117 244.100.000","Badewanne Alterna steel set, 180 x 80 cm, Nutzinhalt 135 Liter, Rückenteil links, Überlauf vorne, Stahl, Schallisolierung, Tiefe 43 cm Weiss","Alterna","180 x 80"
"1111 654.100.000","Badewanne Schmidlin Contura Duo, 180 x 80 cm, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1111 580.100.000","Badewanne Schmidlin Ocean, 180 x 80 cm, Duschteil links, Stahl, Schallisolierung, Tiefe 45 cm Weiss","Schmidlin","180 x 80"
"1113 120.100.000","Badewanne Kaldewei Saniform, 175 x 75 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss","Kaldewei","175 x 75"
