ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1311 629.100.000,"Duschenwanne Schmidlin Floor, 140 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

1311 632.100.000,"Duschenwanne Schmidlin Floor, 150 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

1311 620.100.000,"Duschenwanne Schmidlin Floor, 120 x 75 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,75 x 2.5,,,

1311 622.100.000,"Duschenwanne Schmidlin Floor, 120 x 90 x 2,5 cm, bodenebene Montage, Schallisolierung, Stahl, Ablaufloch Ø 90 mm Weiss",Andere,90 x 2.5,,,

1311 094.100.810,"Duschenwanne Schmidlin Swiss Line, 1200 x 1000 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 086.100.810,"Duschenwanne Schmidlin Swiss Line, 1000 x 750 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 082.100.810,"Duschenwanne Schmidlin Swiss Line, 800 x 800 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 091.100.810,"Duschenwanne Schmidlin Swiss Line, 1100 x 900 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 097.100.810,"Duschenwanne Schmidlin Swiss Line, 1400 x 800 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 099.100.810,"Duschenwanne Schmidlin Swiss Line, 1400 x 1000 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 085.100.810,"Duschenwanne Schmidlin Swiss Line, 900 x 800 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 365.100.810,"Duschenwanne Schmidlin Contura, 140 x 100 x 2 cm, Stahl, Schallisolierung Weiss Standard",Andere,100 x 2,,,

1311 087.100.810,"Duschenwanne Schmidlin Swiss Line, 1000 x 800 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 081.100.810,"Duschenwanne Schmidlin Swiss Line, 900 x 900 x 80 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 096.100.810,"Duschenwanne Schmidlin Swiss Line, 1300 x 900 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 088.100.810,"Duschenwanne Schmidlin Swiss Line, 1000 x 900 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 084.100.810,"Duschenwanne Schmidlin Swiss Line, 900 x 750 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 095.100.810,"Duschenwanne Schmidlin Swiss Line, 1300 x 800 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 098.100.810,"Duschenwanne Schmidlin Swiss Line, 1400 x 900 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 083.100.810,"Duschenwanne Schmidlin Swiss Line, 900 x 900 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 090.100.810,"Duschenwanne Schmidlin Swiss Line, 1100 x 800 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 092.100.810,"Duschenwanne Schmidlin Swiss Line, 1200 x 800 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 364.100.810,"Duschenwanne Schmidlin Contura, 140 x 90 x 2 cm, Stahl, Schallisolierung Weiss Standard",Andere,90 x 2,,,

1311 089.100.810,"Duschenwanne Schmidlin Swiss Line, 1000 x 1000 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 093.100.810,"Duschenwanne Schmidlin Swiss Line, 1200 x 900 x 35 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 064.100.810,"Duschfläche Schmidlin Swiss Line, 1400 x 900 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 057.100.810,"Duschfläche Schmidlin Swiss Line, 1000 x 1000 x 15 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 070.100.810,"Duschfläche Schmidlin Swiss Line, 1700 x 800 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 053.100.810,"Duschfläche Schmidlin Swiss Line, 900 x 800 x 15 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 058.100.810,"Duschfläche Schmidlin Swiss Line, 1100 x 800 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 055.100.810,"Duschfläche Schmidlin Swiss Line, 1000 x 800 x 15 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 060.100.810,"Duschfläche Schmidlin Swiss Line, 1200 x 800 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 059.100.810,"Duschfläche Schmidlin Swiss Line, 1100 x 900 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 067.100.810,"Duschfläche Schmidlin Swiss Line, 1600 x 900 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 051.100.810,"Duschfläche Schmidlin Swiss Line, 800 x 800 x 15 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 052.100.810,"Duschfläche Schmidlin Swiss Line, 900 x 750 x 15 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 061.100.810,"Duschfläche Schmidlin Swiss Line, 1200 x 900 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 068.100.810,"Duschfläche Schmidlin Swiss Line, 1600 x 1000 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 062.100.810,"Duschfläche Schmidlin Swiss Line, 1200 x 1000 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 056.100.810,"Duschfläche Schmidlin Swiss Line, 1000 x 900 x 15 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 054.100.810,"Duschfläche Schmidlin Swiss Line, 900 x 900 x 15 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 069.100.810,"Duschfläche Schmidlin Swiss Line, 1700 x 750 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 065.100.810,"Duschfläche Schmidlin Swiss Line, 1400 x 1000 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 066.100.810,"Duschfläche Schmidlin Swiss Line, 1600 x 800 x 25 mm, Stahl, Schallisolierung Weiss Standard",Andere,,,,

1311 063.100.810,"Duschfläche Schmidlin Swiss Line, 1400 x 800 x 25 mm, Stahl, Schallisolierung Weiss Standard Preisübersicht Unverbindliche Richtpreise Total105'865.00 geschätzte Transportkosten4'128.74 8.1 % MWSt8'909.55 Rundungsdifferenz 0.01 Gesamtbetrag inkl. MwSt. in CHF 118'903.30 Preisänderung vorbehalten Unverbindliche Richtpreise Bei den Preisangaben handelt es sich um unverbindliche Richtpreise. Auf diese unverbindlichen Richtpreise gibt Sanitas Troesch den Installateur-Unternehmen individuelle Einkaufsrabatte. Die unverbindlichen Richtpreise sind für Installateur-Unternehmen nicht bindend. Die Installateur-Unternehmen legen die Verkaufspreise an ihre Kunden vollkommen frei und im eigenen Ermessen fest.",Andere,,,,
