ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1441 514.000.000,"Badewannenträger Schedel, 1700 x 750 mm, Höhe 570 mm, Kaldewei Classic Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 410.000.000,"Badewannenträger Schedel, 1900 x 800 mm, Höhe 570 mm, Schmidlin Duett, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 445.000.000,"Badewannenträger Schedel, 1600 x 700 mm, Höhe 540 mm, Kaldewei Puro Next/- Star, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 409.000.000,"Badewannenträger Schedel, 1800 x 700 mm, Höhe 570 mm, Schmidlin Duett, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 512.000.000,"Badewannenträger Schedel, 1600 x 700 mm, Höhe 570 mm, Kaldewei Classic Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 516.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Kaldewei Classic Duo, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 466.000.000,"Badewannenträger Schedel, 1400 x 700 mm, Höhe 570 mm, Schmidlin Norm Classic, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 500.000.000,"Badewannenträger Schedel, 1700 x 750/600 mm, Höhe 570 mm, Schmidlin Luna, Fussteil links, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

1441 517.000.000,"Badewannenträger Schedel, 1500 x 700 mm, Höhe 555 mm, Kaldewei Saniform Plus, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 450.000.000,"Badewannenträger Schedel, 1900 x 900 mm, Höhe 540 mm, Kaldewei Puro Next/- Star, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Kaldewei,,,,

1441 498.000.000,"Badewannenträger Schedel, 1800 x 800 mm, Höhe 570 mm, Schmidlin Duett, Polystyrol, erfüllt die Anforderungen gemäss der SIA- Norm 271/1",Andere,,,,

