ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1424 287.617.000,"Duschrinne Geberit CleanLine30, Länge 300 - 900 mm, für Raum- oder Wandmontage, ablängbar, Fliesenaufbau Boden 8 - 35 mm, ohne Rohbauset 1424 300, Edelstahl, (nicht geeignet für fugenlose Bodenbeläge) Edelstahl gebürstet",Geberit,,,,

1424 705.523.000,"Duschrinne Schaco Cerawall Individual, Länge 120 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 891.523.000,"Duschrinne Schaco Aqua Swissline Ineva W, Gehäuselänge 1200 mm, Einbau an der Wand, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), Rahmen 15 x 4 mm, 3- seitig Wandzarge 12 - 22 mm einstellbar Edelstahl matt",Andere,,,,

1424 771.523.000,"Duschrinne Schaco CeraFloor Individual, mit Gefälle zu Ablaufgehäuse Dallflex Länge 50 - 150 cm, ablängbar für Belagstärke 12 - 38 mm inkl. Kleberbett Edelstahl matt",Andere,,,,

1424 896.523.000,"Duschrinne Schaco Aqua Swissline Ineva F, Gehäuselänge 900 mm, Einbau in der Fläche, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), mit Rahmen 15 x 4 mm, 4- seitig Edelstahl matt",Andere,,,,

1424 763.523.000,"Duschrinne Schaco Cerafloor Pure mit Gefälle Länge 90 cm, ablängbar für Belagstärke 10 - 32 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 745.523.000,"Duschrinne Schaco Cerafloor Select, Länge 100 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 32 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 773.523.000,"Duschrinne Schaco Zentrix mit vier seitigem Gefälle Länge 30 cm, für Belagstärke 10 - 32 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 703.523.000,"Duschrinne Schaco Cerawall Individual, Länge 100 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 900.523.000,"Duschrinne Schaco Aqua Swissline Ineva F, Gehäuselänge 1300 mm, Einbau in der Fläche, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), mit Rahmen 15 x 4 mm, 4- seitig Edelstahl matt",Andere,,,,

1424 708.523.000,"Duschrinne Schaco Cerawall Individual mit Gefälle Länge 150 cm, ablängbar für Belagstärke 10 - 24 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 723.523.000,"Duschrinne Schaco Cerawall Select, Länge 100 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 755.523.000,"Duschrinne Schaco Cerafloor Select, Länge 150 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 32 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1111 498.523.000,"Duschrinne Alterna laina Länge 40 - 90 cm kürzbar für Raum- oder Wandmontage für Fliesenstärke: Wand 10 - 17 mm Boden 12 - 39,5 mm ohne Ablaufgehäuse 1111 497 (nicht geeignet für fugenlose Beläge) Edelstahl matt",Alterna,,,,

1424 701.523.000,"Duschrinne Schaco Cerawall Individual, Länge 80 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 706.523.000,"Duschrinne Schaco Cerawall Individual mit Gefälle Länge 130 cm, ablängbar für Belagstärke 10 - 24 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 893.523.000,"Duschrinne Schaco Aqua Swissline Ineva F, Gehäuselänge 600 mm, Einbau in der Fläche, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), mit Rahmen 15 x 4 mm, 4- seitig Edelstahl matt",Andere,,,,

1424 899.523.000,"Duschrinne Schaco Aqua Swissline Ineva F, Gehäuselänge 1200 mm, Einbau in der Fläche, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), mit Rahmen 15 x 4 mm, 4- seitig Edelstahl matt",Andere,,,,

1424 890.523.000,"Duschrinne Schaco Aqua Swissline Ineva W, Gehäuselänge 1100 mm, Einbau an der Wand, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), Rahmen 15 x 4 mm, 3- seitig Wandzarge 12 - 22 mm einstellbar Edelstahl matt",Andere,,,,

1424 769.523.000,"Duschrinne Schaco Cerafloor Pure mit Gefälle Länge 120 cm, ablängbar für Belagstärke 10 - 32 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1111 499.523.000,"Duschrinne Alterna laina Länge 40 - 130 cm kürzbar für Raum- oder Wandmontage für Fliesenstärke: Wand 10 - 17 mm Boden 12 - 39,5 mm ohne Ablaufgehäuse 1111 497 (nicht geeignet für fugenlose Beläge) Edelstahl matt",Alterna,,,,

1424 889.523.000,"Duschrinne Schaco Aqua Swissline Ineva W, Gehäuselänge 1000 mm, Einbau an der Wand, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), Rahmen 15 x 4 mm, 3- seitig Wandzarge 12 - 22 mm einstellbar Edelstahl matt",Andere,,,,

1424 737.523.000,"Duschrinne Schaco Cerawall Pure mit Gefälle Länge 120 cm, ablängbar für Belagstärke 10 - 32 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 704.523.000,"Duschrinne Schaco Cerawall Individual, Länge 110 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 24 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 751.523.000,"Duschrinne Schaco Cerafloor Select, Länge 130 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 32 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 753.523.000,"Duschrinne Schaco Cerafloor Select, Länge 140 cm, mit Gefälle, zu Ablaufgehäuse Dallflex, ablängbar, für Belagstärke 10 - 32 mm, (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 765.523.000,"Duschrinne Schaco Cerafloor Pure mit Gefälle Länge 100 cm, ablängbar für Belagstärke 10 - 32 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 707.523.000,"Duschrinne Schaco Cerawall Individual mit Gefälle Länge 140 cm, ablängbar für Belagstärke 10 - 24 mm (ohne Kleberbett) Edelstahl matt",Andere,,,,

1424 887.523.000,"Duschrinne Schaco Aqua Swissline Ineva W, Gehäuselänge 800 mm, Einbau an der Wand, geeignet für fugenlose Bodenbeläge, (ausgeschlossen Naturofloor), Rahmen 15 x 4 mm, 3- seitig Wandzarge 12 - 22 mm einstellbar Edelstahl matt",Andere,,,,

