Gruppe;;;;;;;Installationselement;Installationselement;Installationselement;Installationselement;Installationselement;Installationselement;Immer dabei;Immer dabei;Immer dabei;Wasseranschluss;Wasseranschluss;Rohbau-Set;Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Steuerung (Auswahl);Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Ablauf & Einlauf;Befestigung;Befestigung;Befestigung;Befestigung;Trennwand;Trennwand;Trennwand;Trennwand;Weiteres;Weiteres;Weiteres;Weiteres;Weiteres;Weiteres;Weiteres
Art-Nr;;;;;;;3612 402;3612 403;3612 404;3612 405;3612 406;3612 407;3461 110;3612 272;3612 500;3612 419;3612 420;3451 173;3451 100;3451 103;3451 106;3451 109;3451 114;3451 148;3451 158;3451 168;3451 174;3431 102;3431 110;3431 250;3441 111;3441 112;3441 120;3441 150;8111 412;8111 428;3962 155;3962 156;8211 112;8211 210;2112 890;3482 117;3482 118;3482 119;2112 889;2121 198;2141 298;2147 198;2317 387;3421 149;3421 163
Subway;2317 385;Urinal Subway;cleaneffect;4022693615077;;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;;;;;;;;;;;;;;X;;
Subway;2317 385;Urinal Subway;standard;4022693615022;;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;;;;;;;;;;;;;;X;;
Tamaro;3421 103;Urinal Tamaro;standard, ohne Zielobjekt;4014804094048;815.00;3612 402;X;;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;X;;X;;X;;;;;;;X;X;X;X;X;;;;;;;
Tamaro-S90;3411 102;Absauge-Urinal Tamaro-S90;standard, ohne Zielobjekt;7612738289041;1663.00;3612 405;;;;X;;;X;X;X;;;;;;;;;;;;;;;;X;;X;;;;;;;;X;X;X;X;;;;;;;
Tamaro-S90;3411 104;Absauge-Urinal Tamaro-S90;standard, ohne Zielobjekt;7612738289409;1663.00;3612 405;;;;X;;;X;X;X;;;;;;;;;;;;;;;;X;;X;;;;;;;;X;X;X;X;;;;;;;
Tamaro-VS New;3411 105;Absauge-Urinal Tamaro-VS New;cleanplus, ohne Zielobjekt;7612738976965;1631.00;3612 406;;;;;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;X;;;X;X;X;X;;;;;;;
Tamaro-VS New;3411 105;Absauge-Urinal Tamaro-VS New;standard, ohne Zielobjekt;7612738976958;1631.00;3612 406;;;;;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;X;;;X;X;X;X;;;;;;;
Tamaro-VS New;3411 106;Urinal TAMARO-VS NEW;cleanplus, ohne Zielobjekt;7612738977009;1631.00;3612 406;;;;;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;X;;;X;X;X;X;;;;;;;
Tamaro-VS New;3411 106;Urinal TAMARO-VS NEW;standard, ohne Zielobjekt;7612738976996;1631.00;3612 406;;;;;X;;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;X;;;X;X;X;X;;;;;;;
Tamina;3421 221;Urinal Tamina;standard;4025416696018;837.00;3612 407;;;;;;X;;X;X;;;X;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;
Tamina;3421 222;Urinal Tamina;standard;4025416696049;1831.00;3612 404;;;X;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tamina;3421 223;Urinal Tamina;standard;4025416696070;1831.00;3612 404;;;X;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taro-Nova;3421 120;Urinal Taro-Nova;standard, ohne Zielobjekt;4014804092914;719.00;3612 402;X;;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;X;;;;X;X;;;;;;;;X;X;X;X;;;;;;;
Taro-Uni;3421 125;Urinal Taro-Uni;standard, ohne Zielobjekt;4014804093232;782.00;— ohne Element (Wandmontage);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;X;X;X;X;;;;;;;
Val;2112 886;Absauge-Urinal Val;cleanplus, ohne Zielobjekt;7612738957131;;3612 406;;;;;X;;X;X;X;;X;;;;;;;;;;;;;;;;;X;;;;X;;;X;X;X;X;X;;;;;;
Val;2112 887;Absauge-Urinal Val;cleanplus, ohne Zielobjekt;7612738976729;;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;;;X;;;X;X;X;X;X;;;;;;
Val;2112 888;Absauge-Urinal Val;cleanplus, ohne Zielobjekt;7612738976699;;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;;;X;;;;;;;X;;;;;;
Val;2112 886;Absauge-Urinal Val;standard, ohne Zielobjekt;7612738957124;;3612 406;;;;;X;;X;X;X;;X;;;;;;;;;;;;;;;;;X;;;;X;;;X;X;X;X;X;;;;;;
Val;2112 887;Absauge-Urinal Val;standard, ohne Zielobjekt;7612738937720;;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;;;X;;;X;X;X;X;X;;;;;;
Val;2112 888;Absauge-Urinal Val;standard, ohne Zielobjekt;7612738937713;;3612 403;;X;;;;;X;X;X;;;;X;X;X;X;X;X;X;X;X;;;X;;;;X;;;;X;;;;;;;X;;;;;;
Vila 2.0;3421 142;Urinal Vila 2.0;standard, ohne Zielobjekt;7612738161941;443.00;3612 403;;X;;;;;X;X;X;;X;;X;X;X;X;X;X;X;X;X;;;;;;;X;;;;;;;;;;;;;;;;X;
Vila 2.0;3421 143;Urinal Vila 2.0;standard, ohne Zielobjekt;7612738162023;443.00;3612 403;;X;;;;;X;X;X;;X;;X;X;X;X;X;X;X;X;X;;;;;;;X;;;;;;;;;;;;;;;;;
Vila 2.0;3421 144;Urinal Vila 2.0;standard, ohne Zielobjekt;7612738162108;1316.00;3612 404;;;X;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Vila 2.0;3421 146;Urinal Vila 2.0;standard, ohne Zielobjekt;7612738162184;1316.00;3612 404;;;X;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vila 2.0;3421 147;Urinal Vila 2.0;standard, ohne Zielobjekt;7612738162269;1316.00;3612 404;;;X;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Vila 2.0;3421 148;Urinal Vila 2.0;standard, ohne Zielobjekt;7612738162344;1316.00;3612 404;;;X;;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
