ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1313 414.100.000,"Duschwanne Kaldewei Cayonoplan, 80 x 130 x 2,5 cm, Stahl, Schallisolierung Weiss",Kaldewei,130 x 2.5,,,

1313 495.100.184,"Duschwanne Kaldewei Cayonoplan, 80 x 170 x 2,5 cm, Stahl, Schallisolierung Weiss Gleitschutz Secure Plus",Kaldewei,170 x 2.5,,,

1313 477.100.185,"Duschwanne Kaldewei Cayonoplan, 90 x 130 x 2,5 cm, Stahl, Schallisolierung Weiss Gleitschutz Invisible Grip",Kaldewei,130 x 2.5,,,

1313 475.100.810,"Duschwanne Kaldewei Cayonoplan, 70 x 120 x 1,8 cm, Stahl, Schallisolierung Weiss Standard",Kaldewei,120 x 1.8,,,

1313 241.100.000,"Duschwanne Kaldewei Conoflat, 80 x 90 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,90 x 3.2,,,

1313 313.100.183,"Duschwanne Kaldewei Superplan Classic, 120 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,120 x 2.5,,,

1313 595.100.185,"Duschwanne Kaldewei Superplan Zero, 100 x 140 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,140 x 2,,,

1313 446.100.184,"Duschwanne Kaldewei Superplan, 120 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,120 x 2.5,,,

1313 584.100.185,"Duschwanne Kaldewei Superplan Zero, 110 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,120 x 2,,,

1313 166.100.185,"Duschwanne Kaldewei Calima, 1200 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 192.100.185,"Duschwanne Kaldewei Calima, 1800 x 800 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 142.100.000,"Duschwanne Kaldewei Sanidusch, 90 x 75 x 14 cm, Stahl, Schallisolierung, Ablauf Längsseite vorne rechts Umweltdeklaration EPD Weiss",Kaldewei,75 x 14,,,

1313 469.100.184,"Duschwanne Kaldewei Superplan, 90 x 180 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,180 x 2.5,,,

1313 470.100.184,"Duschwanne Kaldewei Superplan, 100 x 180 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,180 x 2.5,,,

1313 454.100.185,"Duschwanne Kaldewei Superplan, 75 x 150 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,150 x 2.5,,,

1313 254.100.000,"Duschwanne Kaldewei Conoflat, 100 x 130 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,130 x 3.2,,,

1313 451.100.185,"Duschwanne Kaldewei Superplan, 90 x 140 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,140 x 2.5,,,

1313 429.100.185,"Duschwanne Kaldewei Cayonoplan, 75 x 170 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,170 x 2.5,,,

1313 155.100.185,"Duschwanne Kaldewei Calima, 1000 x 700 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 307.100.183,"Duschwanne Kaldewei Superplan Classic, 80 x 80 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,80 x 2.5,,,

1313 251.100.184,"Duschwanne Kaldewei Conoflat, 120 x 120 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,120 x 3.2,,,

1313 585.100.185,"Duschwanne Kaldewei Superplan Zero, 120 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,120 x 2,,,

1313 309.100.183,"Duschwanne Kaldewei Superplan Classic, 90 x 75 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,75 x 2.5,,,

1313 437.100.000,"Duschwanne Kaldewei Superplan, 80 x 100 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,100 x 2.5,,,

1313 581.100.185,"Duschwanne Kaldewei Superplan Zero, 80 x 120 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,120 x 2,,,

1313 457.100.185,"Duschwanne Kaldewei Superplan, 100 x 150 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,150 x 2.5,,,

1313 576.100.185,"Duschwanne Kaldewei Superplan Zero, 90 x 110 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,110 x 2,,,

1313 479.100.184,"Duschwanne Kaldewei Cayonoplan, 100 x 140 x 2,5 cm, Stahl, Schallisolierung Weiss Gleitschutz Secure Plus",Kaldewei,140 x 2.5,,,

1313 439.100.185,"Duschwanne Kaldewei Superplan, 100 x 100 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,100 x 2.5,,,

1313 471.100.810,"Duschwanne Kaldewei Cayonoplan, 75 x 90 x 1,8 cm, Stahl, Schallisolierung Weiss Standard",Kaldewei,90 x 1.8,,,

1313 426.100.000,"Duschwanne Kaldewei Cayonoplan, 80 x 160 x 2,5 cm, Stahl, Schallisolierung Weiss",Kaldewei,160 x 2.5,,,

