ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1514 024.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band rechts, Höhe 200 cm Breite 140 cm, mit Traverse und Wandanschlussprofil für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1514 007.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band links, Höhe 200 cm Breite 100 cm, mit Traverse und Wandanschlussprofil mit Dekor Gitter aufgeteilt in 15 Felder für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1519 862.000.000,"Montagepauschale Duscholux für freistehende Seitenwand Bella Vita 3 Walk-in bis Breite 125 cm bis Höhe 210 cm Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 025.535.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band links, Höhe 200 cm Breite 160 cm, mit Traverse und Wandanschlussprofil mit Dekor Gitter aufgeteilt in 15 Felder für Wannenmontage Schwarz matt Echtglas klar CareTec Pro",Andere,,,,

1514 419.000.119,"Freistehende Seitenwand Duscholux Air 2, Breite bis 200 cm, Band links, für UP- Wandprofil, Höhe 210 cm, (ohne Aufpreis für Höhe bis 220 cm), ohne Unterputzprofil, ab Breite 150,1 cm mit Traverse Echtglas klar CareTec Pro",Andere,,,,

1519 881.000.000,"Montagepauschale Duscholux, bis 125 cm, für freistehende Seitenwand Duscholux Air, bis Breite 125 cm und Höhe 210 cm, Nettobetrag",Andere,,,,

1519 882.000.000,"Montagepauschale Duscholux, ab 125,1 cm, für freistehende Seitenwand Duscholux Air, ab 125,1 cm oder höher als 210 cm, Nettobetrag",Andere,,,,

1519 991.000.000,"Anfahrtspauschale Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1519 990.000.000,"Massaufnahme Trennwände Duscholux, für 1 - 3 Trennwände pro Objekt, Nettobetrag",Andere,,,,

1514 032.536.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in für Wannenmontage Band rechts, Höhe - 210 cm Breite - 120 cm, mit Traverse und Wandanschlussprofil mit Dekor Gitter aufgeteilt in 15 Felder Massanfertigung Weiss matt Echtglas klar CareTec Pro",Andere,,,,

1514 028.536.119,"Freistehende Seitenwand Duscholux Bella Vita 3 Walk-in Band rechts, Höhe 200 cm Breite 160 cm, mit Traverse und Wandanschlussprofil mit Dekor Rahmen für Wannenmontage Weiss matt Echtglas klar CareTec Pro",Andere,,,,

1514 414.591.119,"Freistehende Seitenwand Duscholux Air 2, Breite bis 100 cm, Band rechts, mit Aufputz- Wandprofil, Höhe 210 cm, (ohne Aufpreis für Höhe bis 220 cm), ab Breite 150,1 cm mit Traverse Silbereloxiert Echtglas klar CareTec Pro",Andere,,,,

1519 881.000.000,"Montagepauschale Duscholux, bis 125 cm, für freistehende Seitenwand Duscholux Air, bis Breite 125 cm und Höhe 210 cm, Nettobetrag",Andere,,,,

