Typ,Artikelnummer,Menge,Bezeichnung
,2113 202.100.000,1.0,"Wandbecken Laufen Meda, Armaturenloch, 45 x 35 cm, ohne Überlauf, Weiss"
,,,
,2113 036.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, ohne"
,,,
,2113 235.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, ohne"
,,,
,2113 004.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, mit"
,,,
,2113 209.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 55 x 46 cm, ohne"
,,,
,2113 215.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 65 x 46 cm, mit"
,,,
,2113 228.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 80 x 46 cm, ohne"
,,,
,2113 030.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, ohne"
,,,
,2113 002.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, mit Überlauf, Ablage"
,,,
,2113 218.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, mit Überlauf, Weiss"
,,,
,2113 035.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 120 x 46 cm, ohne Überlauf, Ablage"
,,,
,2113 037.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 120 x 46 cm, ohne"
,,,
,2113 011.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, ohne Überlauf, Ablage"
,,,
,2113 049.100.000,1.0,"Auflegewaschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, Höhe 8 cm,"
,,,
,2113 249.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, ohne"
,,,
,2113 254.100.000,1.0,"Doppelwaschtisch Laufen Meda, ohne Armaturenloch, 130 x 46 cm, ohne"
,,,
,2113 047.100.000,1.0,"Auflegewaschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, Höhe 8 cm,"
,,,
,2113 224.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, mit Überlauf, Abstellfläche"
,,,
,2113 043.100.000,1.0,"Auflegewaschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, Höhe 8 cm,"
,,,
,2113 229.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, ohne"
,,,
,2113 208.100.000,1.0,"Waschtisch Laufen Meda, Armaturenloch, 55 x 46 cm, ohne Überlauf, Weiss"
,,,
,2113 217.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 65 x 46 cm, ohne"
,,,
,2113 207.100.000,1.0,"Waschtisch Laufen Meda, ohne Armaturenloch, 55 x 46 cm, mit"
,,,
,2113 240.100.000,1.0,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 100 x 46 cm, ohne"
,,,
,2113 046.100.000,1.0,"Auflegewaschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, Höhe 8 cm,"
,,,
,2113 000.100.000,1.0,"Wandbecken Laufen Meda, Armaturenloch links, 46 x 23,5 cm, ohne Überlauf,"
