ArtNr,Label,Brand,Size,Hahnloch,Ueberlauf,Ablage
,,,,,,
2112 824.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 95 x 42 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,95 x 42,ohne,ohne,
,,,,,,
2112 975.100.000,"Waschtisch Laufen Val, mit 3 Armaturenlöcher, 75 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,75 x 42,3,mit,
,,,,,,
2112 858.100.000,"Handwaschbecken Laufen Val, 34 x 22 cm, mit Überlauf, Armaturenloch rechts Umweltdeklaration EPD Weiss",Laufen,34 x 22,1,mit,rechts
,,,,,,
2112 822.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 95 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,95 x 42,ohne,mit,
,,,,,,
2112 883.100.000,"Doppelwaschtisch Laufen Val, ohne Armaturenlöcher, 120 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 42,,mit,
,,,,,,
2112 818.100.000,"Waschtisch Laufen Val, ohne Armaturenloch, 75 x 42 cm, mit Überlauf Umweltdeklaration EPD Weiss",Val,75 x 42,ohne,mit,
