ArtNr,Label,Brand,Size,Hahnloch,Ueberlauf,Ablage
2113 237.100.000,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 100 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,100 x 46,3,mit,

2113 041.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, Höhe 8 cm, ohne Überlauf, Ablage rechts Weiss",Laufen,60 x 46,1,ohne,rechts

2113 280.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, Höhe 11,5 cm, ohne Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,80 x 46,1,ohne,

2113 269.100.000,"Auflegewaschtisch Laufen Meda, ohne Armaturenloch, 60 x 35 cm, Höhe 10,5 cm, mit Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,60 x 35,ohne,mit,

2113 033.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, mit Überlauf, Ablage links Weiss",Laufen,120 x 46,ohne,mit,links

2113 232.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, mit Überlauf, Abstellfläche rechts Umweltdeklaration EPD Weiss",Laufen,80 x 46,ohne,mit,

2113 242.100.000,"Waschtisch Laufen Meda, Armaturenloch, 120 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 46,1,mit,

2113 245.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 46,ohne,mit,

2113 212.100.000,"Waschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,60 x 46,1,ohne,

2113 286.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch, 100 x 46 cm, Höhe 11,5 cm, ohne Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,100 x 46,1,ohne,

2113 044.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, Höhe 8 cm, mit Überlauf, Ablage links Weiss",Laufen,60 x 46,1,mit,links

2113 260.100.000,"Auflegewaschtisch Laufen Meda, ohne Armaturenloch, 55 x 46 cm, Höhe 11,5 cm, mit Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,55 x 46,ohne,mit,

2113 236.100.000,"Waschtisch Laufen Meda, Armaturenloch, 100 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,100 x 46,1,mit,

2113 029.100.000,"Waschtisch Laufen Meda, Armaturenloch, 120 x 46 cm, ohne Überlauf, Ablage rechts Weiss",Laufen,120 x 46,1,ohne,rechts

2113 013.100.000,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, ohne Überlauf, Ablage links Weiss",Laufen,60 x 46,3,ohne,links

2113 214.100.000,"Waschtisch Laufen Meda, Armaturenloch, 65 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,65 x 46,1,mit,

2113 278.100.000,"Auflegewaschtisch Laufen Meda, mit 3 Armaturenlöcher, 80 x 46 cm, Höhe 11,5 cm, mit Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,80 x 46,3,mit,

2113 267.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch links, 60 x 35 cm, Höhe 10,5 cm, mit Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,60 x 35,1,mit,links

2113 277.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, Höhe 11,5 cm, mit Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,80 x 46,1,mit,

2113 202.100.000,"Wandbecken Laufen Meda, Armaturenloch, 45 x 35 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,45 x 35,1,ohne,

2113 282.100.000,"Auflegewaschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, Höhe 11,5 cm, ohne Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,80 x 46,ohne,ohne,

2113 036.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, ohne Überlauf, Ablage links Weiss",Laufen,120 x 46,ohne,ohne,links

2113 276.100.000,"Auflegewaschtisch Laufen Meda, ohne Armaturenloch, 65 x 46 cm, Höhe 11,5 cm, ohne Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,65 x 46,ohne,ohne,

2113 235.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, ohne Überlauf, Abstellfläche rechts Umweltdeklaration EPD Weiss",Laufen,80 x 46,ohne,ohne,

2113 257.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch, 45 x 35 cm, Höhe 8 cm, ohne Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,45 x 35,1,ohne,

2113 279.100.000,"Auflegewaschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, Höhe 11,5 cm, mit Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,80 x 46,ohne,mit,

2113 004.100.000,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, mit Überlauf, Ablage rechts Weiss",Laufen,60 x 46,3,mit,rechts

2113 209.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 55 x 46 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,55 x 46,ohne,ohne,

2113 215.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 65 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,65 x 46,ohne,mit,

2113 228.100.000,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 80 x 46 cm, ohne Überlauf, Abstellfläche links Umweltdeklaration EPD Weiss",Laufen,80 x 46,3,ohne,

2113 030.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, ohne Überlauf, Ablage rechts Weiss",Laufen,120 x 46,ohne,ohne,rechts

2113 002.100.000,"Waschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, mit Überlauf, Ablage rechts Weiss",Laufen,60 x 46,1,mit,rechts

2113 218.100.000,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,80 x 46,1,mit,

2113 035.100.000,"Waschtisch Laufen Meda, Armaturenloch, 120 x 46 cm, ohne Überlauf, Ablage links Weiss",Laufen,120 x 46,1,ohne,links

2113 037.100.000,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 120 x 46 cm, ohne Überlauf, Ablage links Weiss",Laufen,120 x 46,3,ohne,links

2113 011.100.000,"Waschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, ohne Überlauf, Ablage links Weiss",Laufen,60 x 46,1,ohne,links

2113 049.100.000,"Auflegewaschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, Höhe 8 cm, ohne Überlauf, Ablage links Weiss",Laufen,60 x 46,3,ohne,links

2113 249.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 120 x 46 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,120 x 46,ohne,ohne,

2113 254.100.000,"Doppelwaschtisch Laufen Meda, ohne Armaturenloch, 130 x 46 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,130 x 46,ohne,ohne,

2113 047.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch, 60 x 46 cm, Höhe 8 cm, ohne Überlauf, Ablage links Weiss",Laufen,60 x 46,1,ohne,links

2113 224.100.000,"Waschtisch Laufen Meda, Armaturenloch, 80 x 46 cm, mit Überlauf, Abstellfläche links Umweltdeklaration EPD Weiss",Laufen,80 x 46,1,mit,

2113 043.100.000,"Auflegewaschtisch Laufen Meda, mit 3 Armaturenlöcher, 60 x 46 cm, Höhe 8 cm, ohne Überlauf, Ablage rechts Weiss",Laufen,60 x 46,3,ohne,rechts

2113 268.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch rechts, 60 x 35 cm, Höhe 10,5 cm, mit Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,60 x 35,1,mit,rechts

2113 229.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 80 x 46 cm, ohne Überlauf, Abstellfläche links Umweltdeklaration EPD Weiss",Laufen,80 x 46,ohne,ohne,

2113 275.100.000,"Auflegewaschtisch Laufen Meda, Armaturenloch, 65 x 46 cm, Höhe 11,5 cm, ohne Überlauf, inkl. Schablone, Unterteil geschliffen, Befestigungsmaterial Umweltdeklaration EPD Weiss",Laufen,65 x 46,1,ohne,

2113 208.100.000,"Waschtisch Laufen Meda, Armaturenloch, 55 x 46 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,55 x 46,1,ohne,

2113 217.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 65 x 46 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,65 x 46,ohne,ohne,

2113 207.100.000,"Waschtisch Laufen Meda, ohne Armaturenloch, 55 x 46 cm, mit Überlauf Umweltdeklaration EPD Weiss",Laufen,55 x 46,ohne,mit,

2113 240.100.000,"Waschtisch Laufen Meda, mit 3 Armaturenlöcher, 100 x 46 cm, ohne Überlauf Umweltdeklaration EPD Weiss",Laufen,100 x 46,3,ohne,

