ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
2116 813.105.000,"Waschtisch Alterna modena, ohne Armaturenloch, 60 x 45 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,60 x 45,ohne,mit,
,,,,,,
2231 604.105.000,"Handwaschbecken Alterna elena, Armaturenloch, 50 x 25 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,50 x 25,1,ohne,
,,,,,,
2231 607.105.000,"Handwaschbecken Alterna elena, ohne Armaturenloch, 45 x 35 cm, ohne Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,45 x 35,ohne,ohne,
,,,,,,
2233 122.105.000,"Waschtisch Alterna elena, ohne Armaturenloch, 60 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,60 x 47,ohne,mit,
,,,,,,
2116 912.105.000,"Doppelwaschtisch Alterna modena S, ohne Armaturenlöcher, 125 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,125 x 50,,mit,
,,,,,,
2231 610.105.000,"Waschtisch Alterna elena 55 x 35 cm, ohne Überlauf Armaturenloch Befestigungsmaterial Weiss Cleaneffekt",Alterna,55 x 35,1,ohne,
,,,,,,
2231 612.105.000,"Waschtisch Alterna elena 55 x 35 cm, ohne Überlauf ohne Armaturenloch Befestigungsmaterial Weiss Cleaneffekt",Alterna,55 x 35,ohne,ohne,
,,,,,,
2116 911.105.000,"Doppelwaschtisch Alterna modena S, mit 2 Armaturenlöcher, 125 x 50 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,125 x 50,2,mit,
,,,,,,
2110 304.105.000,"Waschtisch Alterna dinea, Armaturenloch, 60 x 46 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,60 x 46,1,mit,
,,,,,,
2233 123.105.000,"Waschtisch Alterna elena, ohne Armaturenloch, 80 x 47 cm, mit Überlauf, Befestigungsmaterial Umweltdeklaration EPD Weiss Cleaneffekt",Alterna,80 x 47,ohne,mit,
,,,,,,
