Typ,Artikelnummer,Menge,Bezeichnung
,2211 409.100.000,1.0,"Waschtisch Alterna primo, 100 x 48 cm, Armaturenloch, mit Überlauf, Weiss"
,,,
,2110 104.100.000,1.0,"Waschtisch Alterna calea, Abstellfläche rechts, 80 x 46 cm, Armaturenloch, mit"
,,,
,2211 410.100.000,1.0,"Doppelwaschtisch Alterna primo, 120 x 48 cm, mit 2 Armaturenlöcher, mit"
,,,
,2110 303.105.000,1.0,"Waschtisch Alterna dinea, ohne Armaturenloch, 50 x 46 cm, mit"
,,,
,2233 103.105.000,1.0,"Wandbecken Alterna elena, Armaturenloch, 40 x 32 cm, ohne"
,,,
,2233 111.105.000,1.0,"Waschtisch Alterna elena, Armaturenloch, 50 x 47 cm, mit"
,,,
,2233 114.105.000,1.0,"Waschtisch Alterna elena, Armaturenloch, 80 x 47 cm, mit"
,,,
,2110 317.105.000,1.0,"Doppelwaschtisch Alterna dinea, ohne Armaturenlöcher, 120 x 46 cm, mit"
,,,
,2116 808.105.000,1.0,"Waschtisch Alterna modena, Armaturenloch, 50 x 40 cm, mit"
,,,
,2110 302.105.000,1.0,"Waschtisch Alterna dinea, Armaturenloch, 50 x 46 cm, mit"
,,,
,2233 125.105.000,1.0,"Waschtisch Alterna elena, ohne Armaturenloch, 80 x 47 cm, mit"
,,,
,2110 315.105.000,1.0,"Waschtisch Alterna dinea, ohne Armaturenloch, 120 x 46 cm, mit"
,,,
,2233 116.105.000,1.0,"Waschtisch Alterna elena, Armaturenloch, 100 x 47 cm, mit"
,,,
,2233 119.105.000,1.0,"Doppelwaschtisch Alterna elena, mit 2 Armaturenlöcher, 120 x 47 cm, mit"
,,,
,2231 602.105.000,1.0,"Handwaschbecken Alterna elena, ohne Armaturenloch, 40 x 23 cm, ohne"
,,,
,2116 908.105.000,1.0,"Waschtisch Alterna modena S, ohne Armaturenloch, 100 x 50 cm, mit"
,,,
,2110 316.105.000,1.0,"Doppelwaschtisch Alterna dinea, mit 2 Armaturenlöcher, 120 x 46 cm, mit"
,,,
,2110 301.105.000,1.0,"Wandbecken Alterna dinea, ohne Armaturenloch, 45 x 35 cm, mit"
,,,
,2233 115.105.000,1.0,"Waschtisch Alterna elena, Armaturenloch, 80 x 47 cm, mit"
,,,
,2233 102.105.000,1.0,"Wandbecken Alterna elena, ohne Armaturenloch, 40 x 32 cm, ohne"
,,,
,2116 809.105.000,1.0,"Waschtisch Alterna modena, ohne Armaturenloch, 50 x 40 cm, mit"
,,,
,2116 822.105.000,1.0,"Doppelwaschtisch Alterna modena, ohne Armaturenlöcher, 125 x 48 cm, mit"
,,,
,3169 909.000.000,1.0,"Bohrung links Ø 35 mm für Armaturenloch, in Waschtisch Keramik"
,,,
,3169 910.000.000,1.0,"Bohrung rechts Ø 35 mm für Armaturenloch, in Waschtisch Keramik"
,,,
,2116 813.105.000,1.0,"Waschtisch Alterna modena, ohne Armaturenloch, 60 x 45 cm, mit"
,,,
,2231 604.105.000,1.0,"Handwaschbecken Alterna elena, Armaturenloch, 50 x 25 cm, ohne"
,,,
,2231 607.105.000,1.0,"Handwaschbecken Alterna elena, ohne Armaturenloch, 45 x 35 cm, ohne"
,,,
,2233 122.105.000,1.0,"Waschtisch Alterna elena, ohne Armaturenloch, 60 x 47 cm, mit"
,,,
,2116 912.105.000,1.0,"Doppelwaschtisch Alterna modena S, ohne Armaturenlöcher, 125 x 50 cm, mit"
,,,
,2231 610.105.000,1.0,"Waschtisch Alterna elena, Armaturenloch, 55 x 35 cm, ohne"
,,,
,2231 612.105.000,1.0,"Waschtisch Alterna elena, ohne Armaturenloch, 55 x 35 cm, ohne"
,,,
,2116 911.105.000,1.0,"Doppelwaschtisch Alterna modena S, mit 2 Armaturenlöcher, 125 x 50 cm, mit"
,,,
,2110 304.105.000,1.0,"Waschtisch Alterna dinea, Armaturenloch, 60 x 46 cm, mit"
,,,
,2233 123.105.000,1.0,"Waschtisch Alterna elena, ohne Armaturenloch, 80 x 47 cm, mit"
,,,
,2110 305.105.000,1.0,"Waschtisch Alterna dinea, ohne Armaturenloch, 60 x 46 cm, mit"
,,,
,2233 128.105.000,1.0,"Waschtisch Alterna elena, ohne Armaturenloch, 120 x 47 cm, mit"
,,,
,2110 312.105.000,1.0,"Waschtisch Alterna dinea, Armaturenloch, 100 x 46 cm, mit"
,,,
,2233 117.105.000,1.0,"Waschtisch Alterna elena, Armaturenloch, 100 x 47 cm, mit"
,,,
,2116 811.105.000,1.0,"Waschtisch Alterna modena, Armaturenloch, 60 x 45 cm, mit"
,,,
,2116 907.105.000,1.0,"Waschtisch Alterna modena S, Armaturenloch, 100 x 50 cm, mit"
,,,
,2233 126.105.000,1.0,"Waschtisch Alterna elena, ohne Armaturenloch, 100 x 47 cm, mit"
,,,
,2233 113.105.000,1.0,"Waschtisch Alterna elena, Armaturenloch, 80 x 47 cm, mit"
,,,
,2116 801.105.000,1.0,"Wandbecken Alterna modena, Armaturenloch, 45 x 34 cm, mit"
,,,
,2233 121.105.000,1.0,"Waschtisch Alterna elena, ohne Armaturenloch, 50 x 47 cm, mit"
,,,
,2233 131.105.000,1.0,"Waschtisch Alterna elena, mit 2 Armaturenlöcher, 100 x 47 cm, mit"
,,,
,2116 905.105.000,1.0,"Waschtisch Alterna modena S, Armaturenloch, 80 x 50 cm, mit"
,,,
,2110 308.105.000,1.0,"Waschtisch Alterna dinea, Armaturenloch, 80 x 46 cm, mit"
,,,
,2110 307.105.000,1.0,"Waschtisch Alterna dinea, ohne Armaturenloch, 80 x 46 cm, mit"
,,,
,2231 630.105.000,1.0,"Waschtisch Alterna elena, ohne Armaturenloch, 65 x 35 cm, ohne"
,,,
,2116 803.105.000,1.0,"Wandbecken Alterna modena, ohne Armaturenloch, 45 x 34 cm, mit"
,,,
,2110 313.105.000,1.0,"Waschtisch Alterna dinea, ohne Armaturenloch, 100 x 46 cm, mit"
,,,
,2231 605.105.000,1.0,"Handwaschbecken Alterna elena, ohne Armaturenloch, 50 x 25 cm, ohne"
,,,
,2110 306.105.000,1.0,"Waschtisch Alterna dinea, Armaturenloch, 80 x 46 cm, mit"
,,,
,2110 309.105.000,1.0,"Waschtisch Alterna dinea, ohne Armaturenloch, 80 x 46 cm, mit"
,,,
,2116 903.105.000,1.0,"Waschtisch Alterna modena S, Armaturenloch, 60 x 50 cm, mit"
,,,
,2233 118.105.000,1.0,"Waschtisch Alterna elena, Armaturenloch, 120 x 47 cm, mit"
,,,
,2233 124.105.000,1.0,"Waschtisch Alterna elena, ohne Armaturenloch, 80 x 47 cm, mit"
,,,
,2110 300.105.000,1.0,"Wandbecken Alterna dinea, Armaturenloch, 45 x 35 cm, mit"
,,,
,2231 620.105.000,1.0,"Waschtisch Alterna elena, Armaturenloch, 65 x 35 cm, ohne"
,,,
,2110 314.105.000,1.0,"Waschtisch Alterna dinea, Armaturenloch, 120 x 46 cm, mit"
,,,
,2233 112.105.000,1.0,"Waschtisch Alterna elena, Armaturenloch, 60 x 47 cm, mit"
,,,
,2110 311.105.000,1.0,"Waschtisch Alterna dinea, ohne Armaturenloch, 80 x 46 cm, mit"
,,,
,2233 129.105.000,1.0,"Doppelwaschtisch Alterna elena, ohne Armaturenlöcher, 120 x 47 cm, mit"
,,,
,2233 127.105.000,1.0,"Waschtisch Alterna elena, ohne Armaturenloch, 100 x 47 cm, mit"
,,,
,2231 601.105.000,1.0,"Handwaschbecken Alterna elena, Armaturenloch, 40 x 23 cm, ohne"
,,,
,2233 132.105.000,1.0,"Waschtisch Alterna elena, mit 2 Armaturenlöcher, 120 x 47 cm, mit"
,,,
,2110 310.105.000,1.0,"Waschtisch Alterna dinea, Armaturenloch, 80 x 46 cm, mit"
,,,
,2116 904.105.000,1.0,"Waschtisch Alterna modena S, ohne Armaturenloch, 60 x 50 cm, mit"
,,,
,2116 906.105.000,1.0,"Waschtisch Alterna modena S, ohne Armaturenloch, 80 x 50 cm, mit"
,,,
,2116 997.501.000,1.0,"Handtuchreling Alterna modena S, zu 2116 905 / 906, Verchromt"
,,,
,2231 606.105.000,1.0,"Handwaschbecken Alterna elena, Armaturenloch, 45 x 35 cm, ohne"
